"","Event.ID","Source.Name","Source.Sectors","Source.Country","Event.Text","CAMEO.Code","Intensity","Target.Name","Target.Sectors","Target.Country","Story.ID","Sentence.Number","Publisher","City","District","Province","Country","Latitude","Longitude","Event.Date_1","Event.Date_2","Event.Date_3"
"76",8857434,"Ministry of Defense","Government,Defense / Security Ministry,Executive","Syria","Express intent to cooperate",30,4,"High Ranking Military Personnel (Syria)","Government,Military","Syria",3503687,2,"Xinhua News Agency","Damascus","","Dimashq","Syria",33.5102,36.2913,2005,6,4
"77",8857445,"Saudi Arabia","","Saudi Arabia","Criticize or denounce",111,-2,"United States","","United States",3503715,1,"Reuters News","Riyadh","","Mintaqat ar Riyad","United States",24.6877,46.7219,2005,6,4
"78",8857623,"Syria","","Syria","Reject",120,-4,"Israel","","Israel",3504177,1,"Agence France-Presse","Damascus","","Dimashq","Israel",33.5102,36.2913,2005,6,4
"79",8857698,"Court Judge (Iraq)","Government,Judicial","Iraq","Make statement",10,0,"Saddam Hussein","Criminals / Gangs,Elite,Dissident,International Religious,Sunni","Iraq",3504370,2,"Agence France-Presse","Baghdad","","Muhafazat Baghdad","Iraq",33.3406,44.4009,2005,6,4
"80",8857801,"Airline (Iraq)","Business,Social","Iraq","Express intent to meet or negotiate",36,4,"Iraq","","Iraq",3504568,2,"Dow Jones International News","Al Basrah","","Muhafazat al Basrah","Iraq",30.533,47.7975,2005,6,4
"81",8858160,"Ministry (Syria)","Government","Syria","Make statement",10,0,"Syria","","Syria",3505534,3,"Al-Bawaba News","","","","Syria",33.5102,36.2913,2005,6,4
"82",8856092,"Ariel Sharon","Center Right,Ideological,Government,(National) Major Party,Parties,Executive,Executive Office,International Ethnic,Jews","Israel","Express intent to meet or negotiate",36,4,"Mahmoud Abbas","Executive,Elite,Executive Office,Government","Occupied Palestinian Territory",33449442,1,"Le Figaro","Jerusalem","","Jerusalem District","Occupied Palestinian Territory",31.769,35.2163,2005,6,4
"83",8858728,"Head of Government (Iraq)","Executive Office,Executive,Government","Iraq","Make an appeal or request",20,3,"Lawmaker (Iraq)","Legislative / Parliamentary,Government","Iraq",3506042,4,"Agence France-Presse","Arbil","","Muhafazat Arbil","Iraq",36.1926,44.0106,2005,6,5
"84",8858782,"Intellectual (Egypt)","Social,Education","Egypt","Make statement",10,0,"Court Judge (Egypt)","Government,Judicial","Egypt",3506171,1,"Associated Press Newswires","Cairo","","Muhafazat al Qahirah","Egypt",30.0626,31.2497,2005,6,5
"85",8859025,"Police (Israel)","Government,Police","Israel","Accuse",112,-2,"Syria","","Syria",3506966,3,"Xinhua News Agency","Damascus","","Dimashq","Syria",33.5102,36.2913,2005,6,5
"86",8859110,"Najib Mikati","Sunni,Government,Local,Municipal,Executive Office,Executive,Unicameral,Legislative / Parliamentary,International Religious,Elite","Lebanon","Make a visit",42,1.9,"Lebanon","","Lebanon",3507203,1,"BBC Monitoring Middle East","Sidon","","Mohafazat Liban-Sud","Lebanon",33.5599,35.3756,2005,6,5
"87",8859177,"Militant (Palestinian Territory, Occupied)","Unidentified Forces","Occupied Palestinian Territory","Confiscate property",1711,-9.2,"Palestinian Territory, Occupied","","Occupied Palestinian Territory",3507334,1,"Reuters News","Nablus","","West Bank","Occupied Palestinian Territory",32.2211,35.2544,2005,6,5
"88",8859194,"Activist (Israel)","Nongovernmental Organization (International),Nongovernmental Organizations / Activists,Human Rights IGOs,Human Rights NGOs","Israel","Threaten",130,-4.4,"Education (Israel)","Education,Social","Israel",3507379,6,"Xinhua News Agency","Jerusalem","","Jerusalem District","Israel",31.769,35.2163,2005,6,5
"89",8859328,"Member of Legislative (Govt) (Iraq)","Legislative / Parliamentary,Government","Iraq","Consult",40,1,"Military (Iraq)","Military,Government","Iraq",3507639,4,"BBC Monitoring Middle East","","","","Iraq",33.3406,44.4009,2005,6,5
"90",8859333,"Syria","","Syria","Arrest, detain, or charge with legal action",173,-5,"Citizen (Syria)","General Population / Civilian / Social,Social","Syria",3507650,2,"Agence France-Presse","Damascus","","Dimashq","Syria",33.5102,36.2913,2005,6,5
"91",8859371,"WAFA","Information / Communication / Transparency Ministry,State Media,Executive,Government","Occupied Palestinian Territory","Make statement",10,0,"Mahmoud Abbas","Executive,Government,Elite,Executive Office","Occupied Palestinian Territory",3507736,2,"Xinhua News Agency","Ramallah","","West Bank","Occupied Palestinian Territory",31.8996,35.2042,2005,6,5
"92",8859404,"Qatar","","Qatar","Host a visit",43,2.8,"Pervez Musharraf","Government,Executive,Executive Office,Ideological,Centrist,(National) Major Party,Parties,Elite","Pakistan",3507787,5,"BBC Monitoring South Asia","Doha","","Baladiyat ad Dawhah","Pakistan",25.2793,51.5224,2005,6,5
"93",8859457,"Citizen (Israel)","Social,General Population / Civilian / Social","Israel","Accuse",112,-2,"Government (Greece)","Government","Greece",3507903,1,"Agence France-Presse","Athens","Nomarchia Athinas","Attica","Greece",37.9795,23.7162,2005,6,5
"94",8859476,"Syria","","Syria","Retreat or surrender militarily",874,10,"Lebanon","","Lebanon",3507954,3,"Agence France-Presse","Tyre","","Mohafazat Liban-Sud","Lebanon",33.2733,35.1939,2005,6,5
"95",8859487,"Jordan","","Jordan","Express intent to cooperate",30,4,"Egypt","","Egypt",3507983,3,"BBC Monitoring Middle East","Sharm","","Al Fujayrah","Egypt",25.4708,56.3532,2005,6,5
"96",8859491,"Activist (Syrian Kurds)","National Ethnic Minority,Kurd (Ethnic Group),Social,National Ethnic,International Ethnic","Syria","Demonstrate or rally",141,-6.5,"Police (Syria)","Police,Government","Syria",3507991,1,"Associated Press Newswires","Damascus","","Dimashq","Syria",33.5102,36.2913,2005,6,5
"97",8859567,"Military Personnel - Special (Syria)","Military,Government","Syria","Arrest, detain, or charge with legal action",173,-5,"Citizen (Syria)","General Population / Civilian / Social,Social","Syria",3508179,6,"Agence France-Presse","Damascus","","Dimashq","Syria",33.5102,36.2913,2005,6,5
